Web Search interest: western union transferwise
Worldwide 2004 - present

Interest over time
Week,western union,transferwise
2004-01-04 - 2004-01-10,56,0
2004-01-11 - 2004-01-17,59,0
2004-01-18 - 2004-01-24,50,0
2004-01-25 - 2004-01-31,53,0
2004-02-01 - 2004-02-07,61,0
2004-02-08 - 2004-02-14,59,0
2004-02-15 - 2004-02-21,56,0
2004-02-22 - 2004-02-28,67,0
2004-02-29 - 2004-03-06,59,0
2004-03-07 - 2004-03-13,43,0
2004-03-14 - 2004-03-20,46,0
2004-03-21 - 2004-03-27,60,0
2004-03-28 - 2004-04-03,53,0
2004-04-04 - 2004-04-10,71,0
2004-04-11 - 2004-04-17,60,0
2004-04-18 - 2004-04-24,62,0
2004-04-25 - 2004-05-01,57,0
2004-05-02 - 2004-05-08,66,0
2004-05-09 - 2004-05-15,51,0
2004-05-16 - 2004-05-22,52,0
2004-05-23 - 2004-05-29,56,0
2004-05-30 - 2004-06-05,57,0
2004-06-06 - 2004-06-12,55,0
2004-06-13 - 2004-06-19,65,0
2004-06-20 - 2004-06-26,59,0
2004-06-27 - 2004-07-03,60,0
2004-07-04 - 2004-07-10,58,0
2004-07-11 - 2004-07-17,75,0
2004-07-18 - 2004-07-24,73,0
2004-07-25 - 2004-07-31,72,0
2004-08-01 - 2004-08-07,74,0
2004-08-08 - 2004-08-14,71,0
2004-08-15 - 2004-08-21,67,0
2004-08-22 - 2004-08-28,61,0
2004-08-29 - 2004-09-04,61,0
2004-09-05 - 2004-09-11,61,0
2004-09-12 - 2004-09-18,68,0
2004-09-19 - 2004-09-25,64,0
2004-09-26 - 2004-10-02,56,0
2004-10-03 - 2004-10-09,57,0
2004-10-10 - 2004-10-16,64,0
2004-10-17 - 2004-10-23,55,0
2004-10-24 - 2004-10-30,55,0
2004-10-31 - 2004-11-06,53,0
2004-11-07 - 2004-11-13,62,0
2004-11-14 - 2004-11-20,67,0
2004-11-21 - 2004-11-27,59,0
2004-11-28 - 2004-12-04,71,0
2004-12-05 - 2004-12-11,64,0
2004-12-12 - 2004-12-18,68,0
2004-12-19 - 2004-12-25,70,0
2004-12-26 - 2005-01-01,68,0
2005-01-02 - 2005-01-08,62,0
2005-01-09 - 2005-01-15,62,0
2005-01-16 - 2005-01-22,62,0
2005-01-23 - 2005-01-29,73,0
2005-01-30 - 2005-02-05,63,0
2005-02-06 - 2005-02-12,64,0
2005-02-13 - 2005-02-19,52,0
2005-02-20 - 2005-02-26,60,0
2005-02-27 - 2005-03-05,62,0
2005-03-06 - 2005-03-12,59,0
2005-03-13 - 2005-03-19,64,0
2005-03-20 - 2005-03-26,58,0
2005-03-27 - 2005-04-02,65,0
2005-04-03 - 2005-04-09,60,0
2005-04-10 - 2005-04-16,62,0
2005-04-17 - 2005-04-23,61,0
2005-04-24 - 2005-04-30,61,0
2005-05-01 - 2005-05-07,68,0
2005-05-08 - 2005-05-14,62,0
2005-05-15 - 2005-05-21,62,0
2005-05-22 - 2005-05-28,68,0
2005-05-29 - 2005-06-04,70,0
2005-06-05 - 2005-06-11,64,0
2005-06-12 - 2005-06-18,65,0
2005-06-19 - 2005-06-25,63,0
2005-06-26 - 2005-07-02,69,0
2005-07-03 - 2005-07-09,64,0
2005-07-10 - 2005-07-16,72,0
2005-07-17 - 2005-07-23,72,0
2005-07-24 - 2005-07-30,76,0
2005-07-31 - 2005-08-06,77,0
2005-08-07 - 2005-08-13,67,0
2005-08-14 - 2005-08-20,77,0
2005-08-21 - 2005-08-27,72,0
2005-08-28 - 2005-09-03,70,0
2005-09-04 - 2005-09-10,78,0
2005-09-11 - 2005-09-17,63,0
2005-09-18 - 2005-09-24,68,0
2005-09-25 - 2005-10-01,71,0
2005-10-02 - 2005-10-08,72,0
2005-10-09 - 2005-10-15,65,0
2005-10-16 - 2005-10-22,60,0
2005-10-23 - 2005-10-29,58,0
2005-10-30 - 2005-11-05,78,0
2005-11-06 - 2005-11-12,59,0
2005-11-13 - 2005-11-19,62,0
2005-11-20 - 2005-11-26,70,0
2005-11-27 - 2005-12-03,67,0
2005-12-04 - 2005-12-10,63,0
2005-12-11 - 2005-12-17,71,0
2005-12-18 - 2005-12-24,77,0
2005-12-25 - 2005-12-31,66,0
2006-01-01 - 2006-01-07,63,0
2006-01-08 - 2006-01-14,63,0
2006-01-15 - 2006-01-21,66,0
2006-01-22 - 2006-01-28,66,0
2006-01-29 - 2006-02-04,72,0
2006-02-05 - 2006-02-11,65,0
2006-02-12 - 2006-02-18,68,0
2006-02-19 - 2006-02-25,65,0
2006-02-26 - 2006-03-04,66,0
2006-03-05 - 2006-03-11,61,0
2006-03-12 - 2006-03-18,62,0
2006-03-19 - 2006-03-25,60,0
2006-03-26 - 2006-04-01,63,0
2006-04-02 - 2006-04-08,66,0
2006-04-09 - 2006-04-15,68,0
2006-04-16 - 2006-04-22,66,0
2006-04-23 - 2006-04-29,60,0
2006-04-30 - 2006-05-06,71,0
2006-05-07 - 2006-05-13,71,0
2006-05-14 - 2006-05-20,62,0
2006-05-21 - 2006-05-27,66,0
2006-05-28 - 2006-06-03,65,0
2006-06-04 - 2006-06-10,63,0
2006-06-11 - 2006-06-17,77,0
2006-06-18 - 2006-06-24,67,0
2006-06-25 - 2006-07-01,70,0
2006-07-02 - 2006-07-08,73,0
2006-07-09 - 2006-07-15,70,0
2006-07-16 - 2006-07-22,71,0
2006-07-23 - 2006-07-29,79,0
2006-07-30 - 2006-08-05,84,0
2006-08-06 - 2006-08-12,88,0
2006-08-13 - 2006-08-19,80,0
2006-08-20 - 2006-08-26,72,0
2006-08-27 - 2006-09-02,77,0
2006-09-03 - 2006-09-09,70,0
2006-09-10 - 2006-09-16,66,0
2006-09-17 - 2006-09-23,68,0
2006-09-24 - 2006-09-30,69,0
2006-10-01 - 2006-10-07,70,0
2006-10-08 - 2006-10-14,75,0
2006-10-15 - 2006-10-21,71,0
2006-10-22 - 2006-10-28,64,0
2006-10-29 - 2006-11-04,70,0
2006-11-05 - 2006-11-11,64,0
2006-11-12 - 2006-11-18,68,0
2006-11-19 - 2006-11-25,59,0
2006-11-26 - 2006-12-02,65,0
2006-12-03 - 2006-12-09,66,0
2006-12-10 - 2006-12-16,78,0
2006-12-17 - 2006-12-23,79,0
2006-12-24 - 2006-12-30,72,0
2006-12-31 - 2007-01-06,65,0
2007-01-07 - 2007-01-13,64,0
2007-01-14 - 2007-01-20,65,0
2007-01-21 - 2007-01-27,61,0
2007-01-28 - 2007-02-03,69,0
2007-02-04 - 2007-02-10,64,0
2007-02-11 - 2007-02-17,56,0
2007-02-18 - 2007-02-24,65,0
2007-02-25 - 2007-03-03,69,0
2007-03-04 - 2007-03-10,67,0
2007-03-11 - 2007-03-17,62,0
2007-03-18 - 2007-03-24,67,0
2007-03-25 - 2007-03-31,63,0
2007-04-01 - 2007-04-07,67,0
2007-04-08 - 2007-04-14,64,0
2007-04-15 - 2007-04-21,63,0
2007-04-22 - 2007-04-28,70,0
2007-04-29 - 2007-05-05,65,0
2007-05-06 - 2007-05-12,71,0
2007-05-13 - 2007-05-19,66,0
2007-05-20 - 2007-05-26,62,0
2007-05-27 - 2007-06-02,66,0
2007-06-03 - 2007-06-09,61,0
2007-06-10 - 2007-06-16,71,0
2007-06-17 - 2007-06-23,70,0
2007-06-24 - 2007-06-30,64,0
2007-07-01 - 2007-07-07,69,0
2007-07-08 - 2007-07-14,68,0
2007-07-15 - 2007-07-21,75,0
2007-07-22 - 2007-07-28,73,0
2007-07-29 - 2007-08-04,72,0
2007-08-05 - 2007-08-11,72,0
2007-08-12 - 2007-08-18,71,0
2007-08-19 - 2007-08-25,65,0
2007-08-26 - 2007-09-01,67,0
2007-09-02 - 2007-09-08,72,0
2007-09-09 - 2007-09-15,67,0
2007-09-16 - 2007-09-22,60,0
2007-09-23 - 2007-09-29,69,0
2007-09-30 - 2007-10-06,70,0
2007-10-07 - 2007-10-13,67,0
